,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err
63,Harry Maguire,eng ENG,DF,31-063,18.4,24.0,17,14.0,10.0,0.0,33.0,24.0,9.0,25,49.0,83.0,1.0
64,Aaron Wan-Bissaka,eng ENG,DF,26-163,16.8,37.0,23,17.0,16.0,4.0,23.0,12.0,11.0,37,74.0,62.0,1.0
65,Raphaël Varane,fr FRA,DF,31-012,15.0,18.0,11,10.0,7.0,1.0,22.0,17.0,5.0,15,33.0,88.0,0.0
66,Victor Lindelöf,se SWE,DF,29-295,14.8,15.0,10,8.0,7.0,0.0,18.0,9.0,9.0,12,27.0,40.0,1.0
67,Jonny Evans,nir NIR,DF,36-125,13.3,20.0,14,18.0,2.0,0.0,23.0,17.0,6.0,18,38.0,68.0,0.0
68,Luke Shaw,eng ENG,DF,28-300,10.7,11.0,8,7.0,3.0,1.0,18.0,11.0,7.0,6,17.0,39.0,0.0
69,Lisandro Martínez,ar ARG,DF,26-110,6.4,11.0,7,8.0,3.0,0.0,9.0,7.0,2.0,4,15.0,23.0,0.0
70,Sergio Reguilón,es ESP,DF,27-143,4.6,13.0,8,6.0,2.0,5.0,10.0,0.0,10.0,5,18.0,7.0,0.0
71,Willy Kambwala,fr FRA,DF,19-256,3.5,2.0,0,1.0,1.0,0.0,6.0,3.0,3.0,4,6.0,14.0,1.0
72,Donny van de Beek,nl NED,DF,27-019,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0
73,Vladimír Coufal,cz CZE,DF,31-259,32.8,58.0,38,45.0,11.0,2.0,44.0,11.0,33.0,40,98.0,94.0,0.0
74,Emerson Palmieri,it ITA,DF,29-278,33.2,98.0,62,41.0,41.0,16.0,46.0,15.0,31.0,41,139.0,91.0,0.0
75,Kurt Zouma,fr FRA,DF,29-193,29.5,21.0,15,13.0,8.0,0.0,36.0,26.0,10.0,25,46.0,149.0,0.0
76,Nayef Aguerd,ma MAR,DF,28-038,20.6,26.0,14,19.0,7.0,0.0,33.0,24.0,9.0,17,43.0,85.0,2.0
77,Konstantinos Mavropanos,gr GRE,DF,26-148,15.7,26.0,14,15.0,9.0,2.0,20.0,12.0,8.0,23,49.0,77.0,3.0
78,Angelo Ogbonna,it ITA,DF,35-350,6.1,9.0,3,7.0,2.0,0.0,13.0,10.0,3.0,2,11.0,26.0,0.0
79,Illia Zabarnyi,ua UKR,DF,21-249,35.0,57.0,31,28.0,28.0,1.0,47.0,31.0,16.0,32,89.0,137.0,4.0
80,Adam Smith,eng ENG,DF,33-008,23.0,35.0,22,16.0,11.0,8.0,25.0,11.0,14.0,21,56.0,59.0,0.0
81,Marcos Senesi,ar ARG,DF,26-363,23.0,48.0,27,25.0,21.0,2.0,47.0,21.0,26.0,29,77.0,100.0,1.0
82,Milos Kerkez,hu HUN,DF,20-182,20.9,46.0,25,30.0,13.0,3.0,31.0,11.0,20.0,19,65.0,58.0,1.0
