,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err
60,Ibrahima Konaté,fr FRA,DF,24-348,17.5,36.0,22,22.0,13.0,1.0,18.0,12.0,6.0,20,56.0,51.0,1.0
61,Joe Gomez,eng ENG,DF,26-350,18.8,45.0,29,24.0,14.0,7.0,26.0,4.0,22.0,18,63.0,49.0,2.0
62,Cody Gakpo,nl NED,"FW,MF",25-000,16.6,25.0,17,7.0,13.0,5.0,20.0,4.0,16.0,12,37.0,7.0,0.0
63,Diogo Jota,pt POR,FW,27-155,12.7,23.0,13,6.0,13.0,4.0,9.0,1.0,8.0,7,30.0,4.0,0.0
64,Curtis Jones,eng ENG,MF,23-098,12.7,26.0,14,12.0,11.0,3.0,22.0,0.0,22.0,7,33.0,8.0,0.0
65,Ryan Gravenberch,nl NED,MF,21-357,12.0,24.0,11,5.0,11.0,8.0,19.0,2.0,17.0,14,38.0,11.0,0.0
66,Jarell Quansah,eng ENG,DF,21-099,11.2,19.0,17,13.0,5.0,1.0,11.0,3.0,8.0,13,32.0,32.0,1.0
67,Caoimhín Kelleher,ie IRL,GK,25-166,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,1.0
68,Conor Bradley,nir NIR,DF,20-303,8.1,32.0,24,13.0,12.0,7.0,17.0,1.0,16.0,10,42.0,14.0,0.0
69,Harvey Elliott,eng ENG,"MF,FW",21-033,13.3,24.0,17,6.0,14.0,4.0,24.0,0.0,24.0,6,30.0,7.0,0.0
70,Joël Matip,cm CMR,DF,32-273,8.7,12.0,6,7.0,4.0,1.0,16.0,12.0,4.0,9,21.0,43.0,0.0
71,Kostas Tsimikas,gr GRE,DF,27-361,7.5,19.0,13,9.0,6.0,4.0,9.0,1.0,8.0,6,25.0,10.0,0.0
72,Bobby Clark,eng ENG,MF,19-090,1.0,2.0,1,1.0,1.0,0.0,6.0,2.0,4.0,1,3.0,1.0,0.0
73,Stefan Bajcetic,es ESP,MF,19-198,0.3,4.0,1,3.0,1.0,0.0,0.0,0.0,0.0,0,4.0,0.0,0.0
74,Ben Doak,sct SCO,FW,18-178,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
75,Jayden Danns,eng ENG,FW,18-112,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
76,Owen Beck,wls WAL,DF,21-272,0.1,2.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0,2.0,1.0,0.0
77,Thiago Alcántara,es ESP,MF,33-026,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
78,James McConnell,eng ENG,MF,19-237,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0
79,Kaide Gordon,eng ENG,FW,19-215,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
80,Ollie Watkins,eng ENG,FW,28-129,34.0,12.0,7,0.0,5.0,7.0,24.0,4.0,20.0,4,16.0,20.0,0.0
81,Emiliano Martínez,ar ARG,GK,31-248,32.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.0,2.0
82,Ezri Konsa,eng ENG,DF,26-197,32.1,47.0,29,27.0,17.0,3.0,36.0,20.0,16.0,27,74.0,70.0,3.0
83,Douglas Luiz,br BRA,MF,25-364,31.4,57.0,38,21.0,26.0,10.0,32.0,8.0,24.0,22,79.0,18.0,2.0
84,John McGinn,sct SCO,"MF,FW",29-202,31.4,57.0,34,17.0,33.0,7.0,31.0,4.0,27.0,21,78.0,20.0,0.0
85,Pau Torres,es ESP,DF,27-112,26.4,28.0,17,17.0,10.0,1.0,25.0,11.0,14.0,14,42.0,71.0,0.0
86,Lucas Digne,fr FRA,DF,30-292,24.8,42.0,18,31.0,9.0,2.0,18.0,2.0,16.0,25,67.0,57.0,0.0
87,Matty Cash,pl POL,DF,26-274,23.8,54.0,31,24.0,24.0,6.0,35.0,14.0,21.0,18,72.0,59.0,0.0
88,Moussa Diaby,fr FRA,"FW,MF",24-305,22.2,12.0,5,5.0,4.0,3.0,8.0,1.0,7.0,8,20.0,4.0,0.0
89,Leon Bailey,jm JAM,"MF,FW",26-272,22.0,12.0,6,6.0,4.0,2.0,17.0,1.0,16.0,9,21.0,6.0,0.0
90,Boubacar Kamara,fr FRA,MF,24-166,18.4,43.0,29,16.0,21.0,6.0,21.0,7.0,14.0,21,64.0,16.0,0.0
91,Diego Carlos,br BRA,DF,31-053,18.2,27.0,16,22.0,4.0,1.0,21.0,16.0,5.0,13,40.0,71.0,3.0
92,Youri Tielemans,be BEL,"MF,FW",27-000,17.3,40.0,19,17.0,17.0,6.0,21.0,2.0,19.0,14,54.0,8.0,0.0
93,Clément Lenglet,fr FRA,DF,28-325,11.8,13.0,9,7.0,5.0,1.0,18.0,10.0,8.0,6,19.0,47.0,1.0
